"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.und","abs.change.for","abs.change.aga","abs.change.und","winner.orig","for.to.for.prop","for.to.aga.prop","for.to.und.prop","aga.to.for.prop","aga.to.aga.prop","aga.to.und.prop","und.to.for.prop","und.to.aga.prop","und.to.und.prop"
"06/28/2018","https://www.intelligencesquaredus.org/debates/globalization-has-undermined-americas-working-class","GLOBALIZATION HAS UNDERMINED AMERICAS WORKING CLASS",36,45,19,32,61,7,18,15,3,6,38,1,8,8,3,-4,16,-12,FALSE,0.5,0.416666666666667,0.0833333333333333,0.133333333333333,0.844444444444444,0.0222222222222222,0.421052631578947,0.421052631578947,0.157894736842105
"06/26/2018","https://www.intelligencesquaredus.org/debates/social-media-good-democracy-0"," Social Media Is Good for Democracy",36,46,18,34,63,3,24,11,1,5,41,0,5,11,2,-2,17,-15,FALSE,0.666666666666667,0.305555555555556,0.0277777777777778,0.108695652173913,0.891304347826087,0,0.277777777777778,0.611111111111111,0.111111111111111
"06/23/2018","https://www.intelligencesquaredus.org/debates/trigger-warning-safe-spaces-are-dangerous","Trigger Warning Safe Spaces Are Dangerous",57,25,18,56,35,9,38,15,4,11,14,0,7,6,5,-1,10,-9,FALSE,0.666666666666667,0.263157894736842,0.0701754385964912,0.44,0.56,0,0.388888888888889,0.333333333333333,0.277777777777778
"05/14/2018","https://www.intelligencesquaredus.org/debates/automation-will-crash-democracy","Automation Will Crash Democracy",25,49,26,45,47,8,17,6,2,16,31,2,12,10,4,20,-2,-18,TRUE,0.68,0.24,0.08,0.326530612244898,0.63265306122449,0.0408163265306122,0.461538461538462,0.384615384615385,0.153846153846154
"05/02/2018","https://www.intelligencesquaredus.org/debates/negotiations-can-denuclearize-north-korea","Negotiations Can Denuclearize North Korea",34,41,25,27,67,6,16,15,3,4,35,2,7,17,1,-7,26,-19,FALSE,0.470588235294118,0.441176470588235,0.0882352941176471,0.0975609756097561,0.853658536585366,0.0487804878048781,0.28,0.68,0.04
"04/21/2018","https://www.intelligencesquaredus.org/debates/bitcoin-more-bubble-and-here-stay","BITCOIN IS MORE THAN A BUBBLE AND HERE TO STAY",39,38,23,25,68,7,16,18,5,3,34,1,6,16,1,-14,30,-16,FALSE,0.41025641025641,0.461538461538462,0.128205128205128,0.0789473684210526,0.894736842105263,0.0263157894736842,0.260869565217391,0.695652173913043,0.0434782608695652
"04/17/2018","https://www.intelligencesquaredus.org/debates/preserve-net-neutrality-all-data-created-equal","Preserve Net Neutrality All Data is Created Equal",60,23,17,60,31,9,47,7,6,4,17,2,9,7,1,0,8,-8,FALSE,0.783333333333333,0.116666666666667,0.1,0.173913043478261,0.739130434782609,0.0869565217391304,0.529411764705882,0.411764705882353,0.0588235294117647
"03/27/2018","https://www.intelligencesquaredus.org/debates/more-we-evolve-less-we-need-god"," The More We Evolve The Less We Need God",47,31,22,67,26,7,41,4,2,10,18,3,16,4,2,20,-5,-15,TRUE,0.872340425531915,0.0851063829787234,0.0425531914893617,0.32258064516129,0.580645161290323,0.0967741935483871,0.727272727272727,0.181818181818182,0.0909090909090909
"03/09/2018","https://www.intelligencesquaredus.org/debates/humanitarian-intervention-does-more-harm-good","Humanitarian Intervention Does More Harm Than Good",30,51,19,34,59,7,29,0,1,0,49,2,5,10,4,4,8,-12,FALSE,0.966666666666667,0,0.0333333333333333,0,0.96078431372549,0.0392156862745098,0.263157894736842,0.526315789473684,0.210526315789474
"02/06/2018","https://www.intelligencesquaredus.org/debates/swipe-left-dating-apps-have-killed-romance","Swipe Left Dating Apps Have Killed Romance",39,37,24,30,66,4,18,19,2,5,31,1,7,16,1,-9,29,-20,FALSE,0.461538461538462,0.487179487179487,0.0512820512820513,0.135135135135135,0.837837837837838,0.027027027027027,0.291666666666667,0.666666666666667,0.0416666666666667
"12/07/2017","https://www.intelligencesquaredus.org/debates/liberals-hold-moral-high-ground","Liberals Hold the Moral High Ground",47,21,32,43,40,17,29,11,7,2,16,3,12,13,7,-4,19,-15,FALSE,0.617021276595745,0.234042553191489,0.148936170212766,0.0952380952380952,0.761904761904762,0.142857142857143,0.375,0.40625,0.21875
"10/24/2017","https://www.intelligencesquaredus.org/debates/pay-college-athletes","Pay College Athletes",46,30,24,58,32,9,37,6,2,8,18,5,13,8,2,12,2,-15,TRUE,0.804347826086957,0.130434782608696,0.0434782608695652,0.266666666666667,0.6,0.166666666666667,0.541666666666667,0.333333333333333,0.0833333333333333
"10/13/2017","https://www.intelligencesquaredus.org/debates/western-democracy-threatening-suicide","Western Democracy Is Threatening Suicide",40,32,28,55,38,7,30,8,2,8,22,3,17,8,2,15,6,-21,TRUE,0.75,0.2,0.05,0.25,0.6875,0.09375,0.607142857142857,0.285714285714286,0.0714285714285714
"09/28/2017","https://www.intelligencesquaredus.org/debates/us-health-care-system-terminally-broken","The U.S. Health Care System Is Terminally Broken",44,33,23,46,50,4,30,13,0,7,25,1,9,12,2,2,17,-19,FALSE,0.681818181818182,0.295454545454545,0,0.212121212121212,0.757575757575758,0.0303030303030303,0.391304347826087,0.521739130434783,0.0869565217391304
"06/06/2017","https://www.intelligencesquaredus.org/debates/debating-constitution-technology-and-privacy","DEBATING THE CONSTITUTION: TECHNOLOGY AND PRIVACY",26,47,27,36,58,6,19,5,2,7,37,3,10,16,1,10,11,-21,FALSE,0.730769230769231,0.192307692307692,0.0769230769230769,0.148936170212766,0.787234042553192,0.0638297872340425,0.37037037037037,0.592592592592593,0.037037037037037
"05/10/2017","https://www.intelligencesquaredus.org/debates/video-games-will-make-us-smarter","Video Games Will Make Us Smarter",40,23,37,53,32,15,30,5,5,6,15,2,17,12,8,13,9,-22,TRUE,0.75,0.125,0.125,0.260869565217391,0.652173913043478,0.0869565217391304,0.459459459459459,0.324324324324324,0.216216216216216
"05/06/2017","https://www.intelligencesquaredus.org/debates/long-live-walmart","Long Live Walmart",30,25,45,48,38,14,21,5,4,8,13,4,19,20,6,18,13,-31,TRUE,0.7,0.166666666666667,0.133333333333333,0.32,0.52,0.16,0.422222222222222,0.444444444444444,0.133333333333333
"03/22/2017","https://www.intelligencesquaredus.org/debates/universal-basic-income-safety-net-future"," The Universal Basic Income Is The Safety Net Of The Future",35,20,45,31,61,8,16,17,2,3,16,1,12,28,5,-4,41,-37,FALSE,0.457142857142857,0.485714285714286,0.0571428571428571,0.15,0.8,0.05,0.266666666666667,0.622222222222222,0.111111111111111
"03/01/2017","https://www.intelligencesquaredus.org/debates/charter-schools-are-overrated","Charter Schools Are Overrated",33,31,36,54,40,6,28,3,2,6,24,1,20,13,3,21,9,-30,TRUE,0.848484848484849,0.0909090909090909,0.0606060606060606,0.193548387096774,0.774193548387097,0.032258064516129,0.555555555555556,0.361111111111111,0.0833333333333333
"02/08/2017","https://www.intelligencesquaredus.org/debates/special-us-saudi-relationship-has-outlived-its-usefulness","The Special U.S.Saudi Relationship Has Outlived Its Usefulness",28,26,46,31,59,10,14,9,5,6,19,1,11,31,4,3,33,-36,FALSE,0.5,0.321428571428571,0.178571428571429,0.230769230769231,0.730769230769231,0.0384615384615385,0.239130434782609,0.673913043478261,0.0869565217391304
"02/01/2017","https://www.intelligencesquaredus.org/debates/give-trump-chance","Give Trump a Chance",28,43,29,21,72,7,11,14,3,3,38,2,7,20,2,-7,29,-22,FALSE,0.392857142857143,0.5,0.107142857142857,0.0697674418604651,0.883720930232558,0.0465116279069767,0.241379310344828,0.689655172413793,0.0689655172413793
"01/11/2017","https://www.intelligencesquaredus.org/debates/policing-racially-biased"," Policing Is Racially Biased",57,16,27,60,28,12,47,4,6,3,12,1,10,12,5,3,12,-15,FALSE,0.824561403508772,0.0701754385964912,0.105263157894737,0.1875,0.75,0.0625,0.37037037037037,0.444444444444444,0.185185185185185
"12/07/2016","https://www.intelligencesquaredus.org/debates/call-convention-amend-constitution","Call a Convention to Amend the Constitution",33,22,45,44,43,13,24,5,4,3,17,2,17,21,7,11,21,-32,FALSE,0.727272727272727,0.151515151515152,0.121212121212121,0.136363636363636,0.772727272727273,0.0909090909090909,0.377777777777778,0.466666666666667,0.155555555555556
"11/29/2016","https://www.intelligencesquaredus.org/debates/obama%E2%80%99s-foreign-policy-failure","Obamas Foreign Policy is a Failure",19,38,43,42,49,9,16,3,0,8,25,5,18,21,4,23,11,-34,TRUE,0.842105263157895,0.157894736842105,0,0.210526315789474,0.657894736842105,0.131578947368421,0.418604651162791,0.488372093023256,0.0930232558139535
"11/14/2016","https://www.intelligencesquaredus.org/debates/gerrymandering-destroying-political-center","Gerrymandering is Destroying the Political Center",62,8,30,53,34,13,40,15,7,1,7,0,12,12,6,-9,26,-17,FALSE,0.645161290322581,0.241935483870968,0.112903225806452,0.125,0.875,0,0.4,0.4,0.2
"10/26/2016","https://www.intelligencesquaredus.org/debates/give-undocumented-immigrants-path-citizenship","Give Undocumented Immigrants a Path to Citizenship",66,10,24,55,37,8,44,16,6,1,9,0,10,12,2,-11,27,-16,FALSE,0.666666666666667,0.242424242424242,0.0909090909090909,0.1,0.9,0,0.416666666666667,0.5,0.0833333333333333
"10/13/2016","https://www.intelligencesquaredus.org/debates/blame-big-pharma-out-control-health-care-costs","Blame Big Pharma for Out of Control Health Costs",33,28,39,42,48,10,22,9,2,6,20,2,14,19,6,9,20,-29,FALSE,0.666666666666667,0.272727272727273,0.0606060606060606,0.214285714285714,0.714285714285714,0.0714285714285714,0.358974358974359,0.487179487179487,0.153846153846154
"09/26/2016","https://www.intelligencesquaredus.org/debates/first-presidential-debate","The First Presidential Debate",43,27,30,87,6,7,40,1,2,22,3,2,25,2,3,44,-21,-23,TRUE,0.930232558139535,0.0232558139534884,0.0465116279069767,0.814814814814815,0.111111111111111,0.0740740740740741,0.833333333333333,0.0666666666666667,0.1
"09/13/2016","https://www.intelligencesquaredus.org/debates/blame-elites-trump-phenomenon","Blame the Elites for the Trump Phenomenom",32,27,41,58,34,8,23,8,1,13,12,2,22,14,5,26,7,-33,TRUE,0.71875,0.25,0.03125,0.481481481481481,0.444444444444444,0.0740740740740741,0.536585365853659,0.341463414634146,0.121951219512195
"09/07/2016","https://www.intelligencesquaredus.org/debates/climate-change-epa-has-gone-overboard","Climate Change the EPA has gone Overboard",18,59,23,23,72,5,13,5,0,5,53,1,5,14,4,5,13,-18,FALSE,0.722222222222222,0.277777777777778,0,0.0847457627118644,0.898305084745763,0.0169491525423729,0.217391304347826,0.608695652173913,0.173913043478261
"06/08/2016","https://www.intelligencesquaredus.org/debates/president-has-usurped-constitutional-power-congress","The President has Usurped Constitutional Power",29,39,32,38,53,9,21,7,1,6,28,5,11,18,3,9,14,-23,FALSE,0.724137931034483,0.241379310344828,0.0344827586206897,0.153846153846154,0.717948717948718,0.128205128205128,0.34375,0.5625,0.09375
"05/04/2016","https://www.intelligencesquaredus.org/debates/hunters-conserve-wildlife"," Hunters Conserve Wildlife",21,36,43,25,65,10,10,7,4,5,29,2,10,29,4,4,29,-33,FALSE,0.476190476190476,0.333333333333333,0.19047619047619,0.138888888888889,0.805555555555556,0.0555555555555556,0.232558139534884,0.674418604651163,0.0930232558139535
"04/06/2016","https://www.intelligencesquaredus.org/debates/eliminate-corporate-subsidies","Eliminate Corporate Subsidies",34,15,51,36,53,11,19,10,5,4,9,2,13,34,4,2,38,-40,FALSE,0.558823529411765,0.294117647058824,0.147058823529412,0.266666666666667,0.6,0.133333333333333,0.254901960784314,0.666666666666667,0.0784313725490196
"03/09/2016","https://www.intelligencesquaredus.org/debates/artificial-intelligence-risks-could-outweigh-rewards","AI The Risks Could Outweigh the Rewards",29,41,30,59,29,12,24,3,2,16,20,5,19,6,5,30,-12,-18,TRUE,0.827586206896552,0.103448275862069,0.0689655172413793,0.390243902439024,0.48780487804878,0.121951219512195,0.633333333333333,0.2,0.166666666666667
"03/01/2016","https://www.intelligencesquaredus.org/debates/free-speech-threatened-campus","Free Speech is Threatened on Campus",49,27,24,67,25,8,43,4,2,9,16,2,15,5,4,18,-2,-16,TRUE,0.877551020408163,0.0816326530612245,0.0408163265306122,0.333333333333333,0.592592592592593,0.0740740740740741,0.625,0.208333333333333,0.166666666666667
"02/03/2016","https://www.intelligencesquaredus.org/debates/lifespans-are-long-enough","Lifespans Are Long Enough",32,35,33,40,50,10,22,6,4,5,29,1,13,15,5,8,15,-23,FALSE,0.6875,0.1875,0.125,0.142857142857143,0.828571428571429,0.0285714285714286,0.393939393939394,0.454545454545455,0.151515151515152
"01/13/2016","https://www.intelligencesquaredus.org/debates/us-should-let-100000-syrian-refugees","The US should let in 100000 Syrian Refugees",56,11,33,73,19,8,49,4,3,3,8,0,21,7,5,17,8,-25,TRUE,0.875,0.0714285714285714,0.0535714285714286,0.272727272727273,0.727272727272727,0,0.636363636363636,0.212121212121212,0.151515151515152
"12/23/2015","https://www.intelligencesquaredus.org/debates/equal-protection-clause-forbids-racial-preferences-state-university-admissions","The Equal Protection Clause Forbids Racial Preferences in University Admission",28,28,44,31,62,7,16,10,2,5,23,0,10,29,5,3,34,-37,FALSE,0.571428571428571,0.357142857142857,0.0714285714285714,0.178571428571429,0.821428571428571,0,0.227272727272727,0.659090909090909,0.113636363636364
"11/18/2015","https://www.intelligencesquaredus.org/debates/central-banks-can-print-prosperity","Central Banks Can Print Prosperity",29,31,40,35,54,11,16,11,2,5,24,2,14,19,7,6,23,-29,FALSE,0.551724137931034,0.379310344827586,0.0689655172413793,0.161290322580645,0.774193548387097,0.0645161290322581,0.35,0.475,0.175
"11/10/2015","https://www.intelligencesquaredus.org/debates/us-prosecutors-have-too-much-power"," US Prosecutors Have Too Much Power",40,18,42,54,36,10,29,7,4,3,13,2,22,16,4,14,18,-32,FALSE,0.725,0.175,0.1,0.166666666666667,0.722222222222222,0.111111111111111,0.523809523809524,0.380952380952381,0.0952380952380952
"11/02/2015","https://www.intelligencesquaredus.org/debates/college-students-should-be-allowed-take-smart-drugs","College Students Should be Allowed to Take Smart Drugs",27,44,29,59,33,8,25,1,1,14,27,3,20,5,4,32,-11,-21,TRUE,0.925925925925926,0.037037037037037,0.037037037037037,0.318181818181818,0.613636363636364,0.0681818181818182,0.689655172413793,0.172413793103448,0.137931034482759
"10/27/2015","https://www.intelligencesquaredus.org/debates/raise-federal-gas-tax-fund-infrastructure","Raise the Federal Gas Tax to Build Infrastructure",51,10,39,66,23,11,39,7,5,5,5,0,22,11,6,15,13,-28,TRUE,0.764705882352941,0.137254901960784,0.0980392156862745,0.5,0.5,0,0.564102564102564,0.282051282051282,0.153846153846154
"09/16/2015","https://www.intelligencesquaredus.org/debates/courts-not-campuses-should-decide-sexual-assault-cases","Courts Not Campuses Should Decide Sexual Assault Cases",56,12,32,56,31,13,39,10,7,4,7,1,13,14,5,0,19,-19,FALSE,0.696428571428571,0.178571428571429,0.125,0.333333333333333,0.583333333333333,0.0833333333333333,0.40625,0.4375,0.15625
