"date","url","name","pre.for","pre.aga","pre.und","post.for","post.aga","post.und","for.to.for","for.to.aga","for.to.und","aga.to.for","aga.to.aga","aga.to.und","und.to.for","und.to.aga","und.to.und","abs.change.for","abs.change.aga","abs.change.und","winner.orig","for.to.for.prop","for.to.aga.prop","for.to.und.prop","aga.to.for.prop","aga.to.aga.prop","aga.to.und.prop","und.to.for.prop","und.to.aga.prop","und.to.und.prop"
"09/09/2015","https://www.intelligencesquaredus.org/debates/containment-not-enough-isis-must-be-defeated","Containment is Not Enough ISIS must be Defeated",50,29,21,32,57,11,25,20,5,3,24,2,4,13,4,-18,28,-10,FALSE,0.5,0.4,0.1,0.103448275862069,0.827586206896552,0.0689655172413793,0.19047619047619,0.619047619047619,0.19047619047619
"06/02/2015","https://www.intelligencesquaredus.org/debates/equal-protection-clause-does-not-require-states-license-same-sex-marriages","The Equal Protection Clause Does Not Require States to License Same Sex Marriage",14,54,32,13,83,4,9,5,0,0,53,1,4,25,3,-1,29,-28,FALSE,0.642857142857143,0.357142857142857,0,0,0.981481481481482,0.0185185185185185,0.125,0.78125,0.09375
"05/04/2015","https://www.intelligencesquaredus.org/debates/obamas-iran-deal-good-america","Obama Iran Deal is Good for America",38,19,43,51,42,7,27,9,2,2,17,0,22,16,5,13,23,-36,FALSE,0.710526315789474,0.236842105263158,0.0526315789473684,0.105263157894737,0.894736842105263,0,0.511627906976744,0.372093023255814,0.116279069767442
"05/13/2015","https://www.intelligencesquaredus.org/debates/smart-technology-making-us-dumb","Smart Technology is Making Us Dumb",36,33,31,46,43,11,26,6,4,8,23,2,12,14,5,10,10,-20,NA,0.722222222222222,0.166666666666667,0.111111111111111,0.242424242424242,0.696969696969697,0.0606060606060606,0.387096774193548,0.451612903225806,0.161290322580645
"04/15/2015","https://www.intelligencesquaredus.org/debates/abolish-death-penalty","Abolish the Death Penalty",48,18,34,55,39,6,37,10,1,3,14,1,15,15,4,7,21,-28,FALSE,0.770833333333333,0.208333333333333,0.0208333333333333,0.166666666666667,0.777777777777778,0.0555555555555556,0.441176470588235,0.441176470588235,0.117647058823529
"03/31/2015","https://www.intelligencesquaredus.org/debates/president-has-exceeded-his-constitutional-authority-waging-war-without-congressional","The President Has Exceeded His Constitutional Authority by Waging War Without Congressional Authorization",28,31,40,39,51,9,19,7,2,7,22,2,13,22,5,11,20,-31,FALSE,0.678571428571429,0.25,0.0714285714285714,0.225806451612903,0.709677419354839,0.0645161290322581,0.325,0.55,0.125
"03/11/2015","https://www.intelligencesquaredus.org/debates/us-should-adopt-right-be-forgotten-online","The U.S. Should Adopt the Right to Be Forgotten Online",34,28,38,35,56,9,21,8,5,5,22,1,9,26,3,1,28,-29,FALSE,0.617647058823529,0.235294117647059,0.147058823529412,0.178571428571429,0.785714285714286,0.0357142857142857,0.236842105263158,0.684210526315789,0.0789473684210526
"02/24/2015","https://www.intelligencesquaredus.org/debates/liberals-are-stifling-intellectual-diversity-campus","Liberals Are Stifling Intellectual Diversity on Campus",32,20,48,60,32,8,29,2,1,8,11,1,23,19,6,28,12,-40,TRUE,0.90625,0.0625,0.03125,0.4,0.55,0.05,0.479166666666667,0.395833333333333,0.125
"02/11/2015","https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america","Declinists be Damned Bet on America",48,24,28,64,25,11,37,8,3,11,10,3,16,7,5,16,1,-17,TRUE,0.770833333333333,0.166666666666667,0.0625,0.458333333333333,0.416666666666667,0.125,0.571428571428571,0.25,0.178571428571429
"01/15/2015","https://www.intelligencesquaredus.org/debates/amazon-readers-friend","Amazon is the Readers Best Friend",43,28,30,43,49,9,22,16,5,7,20,1,14,13,3,0,21,-21,FALSE,0.511627906976744,0.372093023255814,0.116279069767442,0.25,0.714285714285714,0.0357142857142857,0.466666666666667,0.433333333333333,0.1
"12/04/2014","https://www.intelligencesquaredus.org/debates/genetically-modify-food","Genetically Modify Food",32,30,37,60,30,9,29,2,1,9,18,3,22,10,5,28,0,-28,TRUE,0.90625,0.0625,0.03125,0.3,0.6,0.1,0.594594594594595,0.27027027027027,0.135135135135135
"11/03/2014","https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide","Legalize Assisted Suicide",63,11,26,67,22,11,47,7,9,5,6,0,15,9,2,4,11,-15,FALSE,0.746031746031746,0.111111111111111,0.142857142857143,0.454545454545455,0.545454545454545,0,0.576923076923077,0.346153846153846,0.0769230769230769
"10/22/2014","https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility","Income Inequality Impairs The American Dream Of Upward Mobility",60,12,26,53,36,9,40,15,5,2,10,0,11,11,4,-7,24,-17,FALSE,0.666666666666667,0.25,0.0833333333333333,0.166666666666667,0.833333333333333,0,0.423076923076923,0.423076923076923,0.153846153846154
"10/07/2014","https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment","Mass Collection of U.S. Phone Records Violates the Fourth Amendment",44,18,37,66,27,6,35,7,2,5,13,0,26,7,4,22,9,-31,TRUE,0.795454545454545,0.159090909090909,0.0454545454545455,0.277777777777778,0.722222222222222,0,0.702702702702703,0.189189189189189,0.108108108108108
"09/30/2014","https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse","Flexing Americas Muscles In The Middle East Will Make Things Worse",28,32,41,46,45,10,20,6,2,7,23,2,19,16,6,18,13,-31,TRUE,0.714285714285714,0.214285714285714,0.0714285714285714,0.21875,0.71875,0.0625,0.463414634146341,0.390243902439024,0.146341463414634
"09/09/2014","https://www.intelligencesquaredus.org/debates/embrace-common-core","Embrace the Common Core",49,13,38,67,27,6,41,6,2,3,9,1,23,12,3,18,14,-32,TRUE,0.836734693877551,0.122448979591837,0.0408163265306122,0.230769230769231,0.692307692307692,0.0769230769230769,0.605263157894737,0.315789473684211,0.0789473684210526
"06/24/2014","https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own","Individuals and organizations have a constitutional right to unlimited spending on their own political speech",34,49,18,31,67,3,21,13,0,7,41,1,3,13,2,-3,18,-15,FALSE,0.617647058823529,0.382352941176471,0,0.142857142857143,0.836734693877551,0.0204081632653061,0.166666666666667,0.722222222222222,0.111111111111111
"05/07/2014","https://www.intelligencesquaredus.org/debates/death-not-final","Death is not Final",36,30,33,42,46,11,27,7,2,3,26,1,12,13,8,6,16,-22,FALSE,0.75,0.194444444444444,0.0555555555555556,0.1,0.866666666666667,0.0333333333333333,0.363636363636364,0.393939393939394,0.242424242424242
"04/11/2014","https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance"," Millenials Don’t Stand a Chance",15,45,41,37,50,14,10,5,0,11,29,5,16,16,9,22,5,-27,TRUE,0.666666666666667,0.333333333333333,0,0.244444444444444,0.644444444444444,0.111111111111111,0.390243902439024,0.390243902439024,0.219512195121951
"04/02/2014","https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete","The Lecture Doesn’t Stand a Chance",20,59,21,39,51,10,12,7,1,14,39,6,13,5,3,19,-8,-11,TRUE,0.6,0.35,0.05,0.23728813559322,0.661016949152542,0.101694915254237,0.619047619047619,0.238095238095238,0.142857142857143
"03/12/2014","https://www.intelligencesquaredus.org/debates/russia-marginal-power","Russia is a Marginal Power",24,44,33,35,58,8,14,9,1,9,32,3,12,17,4,11,14,-25,FALSE,0.583333333333333,0.375,0.0416666666666667,0.204545454545455,0.727272727272727,0.0681818181818182,0.363636363636364,0.515151515151515,0.121212121212121
"03/05/2014","https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad","The President Has Constitutional Power To Target And Kill U.S. Citizens Abroad",30,45,26,55,39,7,21,9,0,20,23,2,14,7,5,25,-6,-19,TRUE,0.7,0.3,0,0.444444444444444,0.511111111111111,0.0444444444444444,0.538461538461538,0.269230769230769,0.192307692307692
"02/27/2014","https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good","Affirmative Action does more Harm than Good",22,48,30,37,53,10,16,5,1,7,38,3,14,10,6,15,5,-20,TRUE,0.727272727272727,0.227272727272727,0.0454545454545455,0.145833333333333,0.791666666666667,0.0625,0.466666666666667,0.333333333333333,0.2
"02/12/2014","https://www.intelligencesquaredus.org/debates/snowden-was-justified","Snowden Was justified",30,29,42,55,34,12,24,4,2,6,21,2,25,9,8,25,5,-30,TRUE,0.8,0.133333333333333,0.0666666666666667,0.206896551724138,0.724137931034483,0.0689655172413793,0.595238095238095,0.214285714285714,0.19047619047619
"01/15/2014","https://www.intelligencesquaredus.org/debates/obamacare-now-beyond-rescue","Obamacare is Now Beyond Rescue",16,53,31,33,58,9,13,2,1,9,40,4,11,16,4,17,5,-22,TRUE,0.8125,0.125,0.0625,0.169811320754717,0.754716981132076,0.0754716981132075,0.354838709677419,0.516129032258065,0.129032258064516
"12/04/2013","https://www.intelligencesquaredus.org/debates/dont-eat-anything-face","Dont Eat Anything with a Face",24,52,25,46,43,12,19,2,3,12,36,4,15,5,5,22,-9,-13,TRUE,0.791666666666667,0.0833333333333333,0.125,0.230769230769231,0.692307692307692,0.0769230769230769,0.6,0.2,0.2
"11/20/2013","https://www.intelligencesquaredus.org/debates/spy-me-id-rather-be-safe","Spy on me Id Rather Be Safe",26,41,33,28,63,9,16,7,3,2,38,1,10,18,5,2,22,-24,FALSE,0.615384615384615,0.269230769230769,0.115384615384615,0.0487804878048781,0.926829268292683,0.024390243902439,0.303030303030303,0.545454545454545,0.151515151515152
"11/14/2013","https://www.intelligencesquaredus.org/debates/constitutional-right-bear-arms-has-outlived-its-usefulness","The Constitutional Right to Bear Arms has Outlived its Usefulness",64,18,18,74,22,4,58,4,2,5,12,1,11,6,1,10,4,-14,TRUE,0.90625,0.0625,0.03125,0.277777777777778,0.666666666666667,0.0555555555555556,0.611111111111111,0.333333333333333,0.0555555555555556
"10/30/2013","https://www.intelligencesquaredus.org/debates/let-anyone-take-job-anywhere","Let Anyone take a Job Anywhere",46,21,34,43,49,9,28,15,3,4,16,1,11,18,5,-3,28,-25,FALSE,0.608695652173913,0.326086956521739,0.0652173913043478,0.19047619047619,0.761904761904762,0.0476190476190476,0.323529411764706,0.529411764705882,0.147058823529412
"10/18/2013","https://www.intelligencesquaredus.org/debates/better-future-live-red-state","For a Better Future Live in a Red State",55,24,22,74,23,4,52,3,0,9,14,1,13,6,3,19,-1,-18,TRUE,0.945454545454545,0.0545454545454545,0,0.375,0.583333333333333,0.0416666666666667,0.590909090909091,0.272727272727273,0.136363636363636
"10/16/2013","https://www.intelligencesquaredus.org/debates/break-big-banks","Break up the Big Banks",35,19,46,48,39,13,25,5,5,3,16,0,20,18,8,13,20,-33,FALSE,0.714285714285714,0.142857142857143,0.142857142857143,0.157894736842105,0.842105263157895,0,0.434782608695652,0.391304347826087,0.173913043478261
"09/10/2013","https://www.intelligencesquaredus.org/debates/us-drone-program-fatally-flawed","The US Drone Program is Fatally Flawed",24,34,41,20,65,14,10,10,4,2,31,1,8,24,9,-4,31,-27,FALSE,0.416666666666667,0.416666666666667,0.166666666666667,0.0588235294117647,0.911764705882353,0.0294117647058824,0.195121951219512,0.585365853658537,0.219512195121951
"08/09/2013","https://www.intelligencesquaredus.org/debates/us-has-no-dog-fight-syria","The US Has No Dog in the Fight in Syria",41,29,31,60,34,7,36,4,1,9,19,1,15,11,5,19,5,-24,TRUE,0.878048780487805,0.0975609756097561,0.024390243902439,0.310344827586207,0.655172413793103,0.0344827586206897,0.483870967741935,0.354838709677419,0.161290322580645
"06/19/2013","https://www.intelligencesquaredus.org/debates/cutting-pentagons-budget-gift-our-enemies","Cuttin the Pentagons Budget is a Gift to our Enemies",20,58,22,29,66,5,14,5,1,8,48,2,7,13,2,9,8,-17,TRUE,0.7,0.25,0.05,0.137931034482759,0.827586206896552,0.0344827586206897,0.318181818181818,0.590909090909091,0.0909090909090909
"05/08/2013","https://www.intelligencesquaredus.org/debates/fdas-caution-hazardous-our-health","The FDAs Caution is Hazardous to our Health",23,32,45,53,37,10,19,2,2,12,18,2,22,17,6,30,5,-35,TRUE,0.826086956521739,0.0869565217391304,0.0869565217391304,0.375,0.5625,0.0625,0.488888888888889,0.377777777777778,0.133333333333333
"04/17/2013","https://www.intelligencesquaredus.org/debates/gop-must-seize-center-or-die","The GOP must Seize the Center or Die",63,14,23,65,28,7,45,14,4,6,8,0,14,6,3,2,14,-16,FALSE,0.714285714285714,0.222222222222222,0.0634920634920635,0.428571428571429,0.571428571428571,0,0.608695652173913,0.260869565217391,0.130434782608696
"04/03/2013","https://www.intelligencesquaredus.org/debates/abolish-minimum-wage"," Abolish Minimum Wage",20,59,21,26,67,7,17,3,0,4,53,2,5,11,5,6,8,-14,FALSE,0.85,0.15,0,0.0677966101694915,0.898305084745763,0.0338983050847458,0.238095238095238,0.523809523809524,0.238095238095238
"03/13/2013","https://www.intelligencesquaredus.org/debates/america-doesnt-need-strong-dollar-policy"," America Doesnt Need a Strong Dollar Policy",23,31,46,53,37,10,17,6,0,10,19,2,26,12,8,30,6,-36,TRUE,0.739130434782609,0.260869565217391,0,0.32258064516129,0.612903225806452,0.0645161290322581,0.565217391304348,0.260869565217391,0.173913043478261
"02/13/2013","https://www.intelligencesquaredus.org/debates/prohibit-genetically-engineered-babies","Prohibit Genetically Engineered Babies",26.5,27.5,46,41.5,47.5,11,18,4.5,4,4.5,20,3,19,23,4,15,20,-35,FALSE,0.679245283018868,0.169811320754717,0.150943396226415,0.163636363636364,0.727272727272727,0.109090909090909,0.41304347826087,0.5,0.0869565217391304
"01/16/2013","https://www.intelligencesquaredus.org/debates/israel-can-live-nuclear-iran","Israel Can Live with a Nuclear Iran",25,35,40,37,55,8,16,8,1,4,30,1,17,17,6,12,20,-32,FALSE,0.64,0.32,0.04,0.114285714285714,0.857142857142857,0.0285714285714286,0.425,0.425,0.15
"12/05/2012","https://www.intelligencesquaredus.org/debates/science-refutes-god","Science Refutes God",39,33,29,51,38,12,31,6,2,7,24,2,13,8,8,12,5,-17,TRUE,0.794871794871795,0.153846153846154,0.0512820512820513,0.212121212121212,0.727272727272727,0.0606060606060606,0.448275862068966,0.275862068965517,0.275862068965517
"11/14/2012","https://www.intelligencesquaredus.org/debates/legalize-drugs","Legalize Drugs",45,22,33,57,30,13,35,6,4,6,14,2,16,10,7,12,8,-20,TRUE,0.777777777777778,0.133333333333333,0.0888888888888889,0.272727272727273,0.636363636363636,0.0909090909090909,0.484848484848485,0.303030303030303,0.212121212121212
"10/24/2012","https://www.intelligencesquaredus.org/debates/rich-are-taxed-enough","The Rich are Taxed Enough",28,49,25,31,63,8,19,7,2,5,42,2,7,14,4,3,14,-17,FALSE,0.678571428571429,0.25,0.0714285714285714,0.102040816326531,0.857142857142857,0.0408163265306122,0.28,0.56,0.16
"10/10/2012","https://www.intelligencesquaredus.org/debates/ration-end-life-care","Ration End of Life Healthcare",43,20,37,82,12,6,39,2,2,12,7,1,31,3,3,39,-8,-31,TRUE,0.906976744186046,0.0465116279069767,0.0465116279069767,0.6,0.35,0.05,0.837837837837838,0.0810810810810811,0.0810810810810811
"10/04/2012","https://www.intelligencesquaredus.org/debates/better-elected-islamists-dictators","Better Elected Islamists than Dictators",43,30,27,43,50,7,30,12,1,3,26,1,10,12,5,0,20,-20,FALSE,0.697674418604651,0.27906976744186,0.0232558139534884,0.1,0.866666666666667,0.0333333333333333,0.37037037037037,0.444444444444444,0.185185185185185
